param_n_estimators,param_max_depth,param_subsample,param_colsample_bytree,mean_R2,std_R2,mean_test_MAE,mean_test_MSE,mean_test_RMSE,rank,mean_fit_time,std_fit_time
1000,8,0.5,0.5,-2059151.9570106666,2912080.7157857325,119.49956766764323,81729.5390625,280.0658021404701,137,15.78635835647583,0.28037013296452273
600,8,0.6,0.5,-2069462.2698061068,2926661.743540804,117.68962097167969,80231.50390625,277.2099803481519,138,8.95323904355367,0.18294142912640565
1000,8,0.6,0.5,-2071748.9557772588,2929895.5649030977,119.70163472493489,81988.67708333333,280.6484447073699,139,14.709808985392252,0.2736707494006914
300,8,0.6,0.5,-2078505.0830827777,2939450.2552652853,115.3128433227539,78747.578125,274.1617133829045,140,5.039915720621745,0.10647015602977634
600,4,0.6,0.5,-2082807.2611365318,2945534.4296609876,116.5641352335612,79079.29817708333,275.0433465089614,141,3.6866432825724282,0.005656425785435508
1000,4,0.6,0.5,-2085986.6095407307,2950030.6753235813,118.20568593343098,80350.32421875,277.7246604844404,142,6.162966410319011,0.09437508452307988
1000,4,0.8,0.6,-2088657.4474902675,2953807.8007822707,118.23877970377605,80010.88932291667,277.4023662862791,143,6.086584806442261,0.0031961340789400943
600,6,0.5,0.5,-2093110.1009126927,2960104.83173609,117.25378163655598,79806.41796875,276.40352883044505,144,6.139665444691976,0.08361001210008806
600,4,0.8,0.6,-2093867.7624924358,2961176.3378088465,116.6642583211263,78888.35677083333,275.02622174099747,145,3.7392613093058267,0.00283408053215466
1000,6,0.5,0.5,-2103893.1221318864,2975354.2815749235,119.1819076538086,81377.80208333333,279.5680418638523,146,10.049991766611734,0.07440327242965981
600,4,0.5,0.5,-2119658.9265260673,2997650.557360108,116.3256607055664,78558.3125,274.38656639353894,147,3.657555421193441,0.008045616657101634
600,8,0.5,0.6,-2129402.608613158,3011430.172003465,118.39160664876302,81062.99088541667,278.62928340979397,148,8.923346996307373,0.190479473723916
1000,4,0.5,0.5,-2133334.1094238632,3016990.1520506795,118.00611623128255,79927.41276041667,277.20477205023775,149,6.062312285105388,0.032101129526914685
1000,8,0.5,0.6,-2136259.797936432,3021127.6540822764,120.40696970621745,82871.578125,282.18395524804055,150,14.717400232950846,0.07545186111748708
1000,6,0.8,0.6,-2136446.2957049147,3021391.4064895804,119.67887115478516,81723.37109375,280.5336910283023,151,10.205458958943685,0.11310140052553616
600,6,0.8,0.6,-2139322.6077507907,3025459.1711519915,117.84720102945964,80208.00390625,277.55105339189345,152,6.196456511815389,0.12924816156761348
600,6,0.5,0.6,-2149556.937319547,3039932.7068157964,117.88303120930989,80593.68359375,277.89574693085046,153,5.950740098953247,0.08792985742299635
