param_n_estimators,param_max_depth,param_num_leaves,param_subsample,param_colsample_bytree,mean_R2,std_R2,mean_test_MAE,rank,mean_fit_time,std_fit_time
500,-1,63,0.6,0.6,-0.08511724322509617,0.034474478515883,128.23235825389818,143,11.274375677108765,0.10364238120619444
300,-1,63,0.6,0.6,-0.0893188593054548,0.03783531762997243,128.87113276963927,145,4.086197217305501,0.06042383484031629
300,-1,63,0.8,0.6,-0.0893188593054548,0.03783531762997243,128.87113276963927,145,4.082890113194783,0.04804301359546877
300,-1,31,0.6,0.8,-0.09035677321325629,0.023295491366509952,126.9456830851618,147,4.048346122105916,0.025450756726299314
300,-1,31,0.8,0.8,-0.09035677321325629,0.023295491366509952,126.9456830851618,147,4.04864780108134,0.039422207584178796
300,-1,31,0.6,0.6,-0.09186604099976925,0.04113869144484324,128.60902214177807,149,3.592749993006388,0.06289411251855301
300,-1,31,0.8,0.6,-0.09186604099976925,0.04113869144484324,128.60902214177807,149,3.6115571657816568,0.05931346332323282
300,8,63,0.6,0.8,-0.09790533140886543,0.019600083004125832,128.4314232012659,151,3.119745969772339,0.06512594088113122
300,8,63,0.8,0.8,-0.09790533140886543,0.019600083004125832,128.4314232012659,151,3.123403867085775,0.05228326451619023
500,-1,63,0.8,0.8,-0.09881321456798292,0.03116793394953583,128.3980386540433,153,13.10355814297994,0.06367535224540616
500,-1,63,0.6,0.8,-0.09881321456798292,0.03116793394953583,128.3980386540433,153,13.116102933883667,0.08177649188949447
300,8,31,0.6,0.8,-0.10241273777872749,0.031478229068055696,128.30779969945524,155,2.9820775985717773,0.040583641103834514
300,8,31,0.8,0.8,-0.10241273777872749,0.031478229068055696,128.30779969945524,155,2.9748778343200684,0.0424099487487263
300,-1,31,0.8,0.8,-0.1060592841783427,0.03474996858415689,130.43607098472646,157,4.150337378184001,0.021574486736005073
300,-1,31,0.6,0.8,-0.1060592841783427,0.03474996858415689,130.43607098472646,157,4.158122221628825,0.03267541749087987
300,-1,63,0.8,0.8,-0.10997049984559475,0.03099191986573288,131.0402017658806,159,4.749843279520671,0.019934480237625497
300,-1,63,0.6,0.8,-0.10997049984559475,0.03099191986573288,131.0402017658806,159,4.754486083984375,0.017907835547869986
300,-1,63,0.6,0.8,-0.1121740793151752,0.03038921518903591,130.27681006170994,161,7.860822995503743,0.04697303636291954
300,-1,63,0.8,0.8,-0.1121740793151752,0.03038921518903591,130.27681006170994,161,7.864723285039266,0.05050808981117885
500,8,63,0.6,0.6,-0.11520162663485019,0.023230201314787424,128.91043096395947,163,4.6385079224904375,0.08997165377830943
500,8,63,0.8,0.6,-0.11520162663485019,0.023230201314787424,128.91043096395947,163,4.738967180252075,0.19410168468265412
500,8,31,0.6,0.6,-0.11655581231573235,0.06228240805226798,129.81947656762352,165,3.5076169967651367,0.060042255029172105
500,8,31,0.8,0.6,-0.11655581231573235,0.06228240805226798,129.81947656762352,165,3.4963861306508384,0.042150223652429764
