param_n_estimators,param_max_depth,param_subsample,param_colsample_bytree,mean_R2,std_R2,mean_test_MAE,mean_test_MSE,mean_test_RMSE,rank,mean_fit_time,std_fit_time
1000,4,0.5,0.6,-11135.068333163857,7888.172780942272,755924.7291666666,642658629670229.4,19807539.729946215,65,8.194833437601725,0.1601251136455274
1000,6,0.8,0.8,-11236.132068648934,7947.962999942396,524280.7291666667,643067286301354.6,19833710.456841033,66,16.449259678522747,0.09979080279528829
1000,8,0.8,0.8,-11327.125717774034,8038.620347864224,522626.1041666667,643468963610624.0,19855362.39354604,67,28.074604272842407,0.2856277780428642
1000,6,0.5,0.6,-11831.960489287972,8366.728836423212,775632.25,645757826061653.4,19985466.06699506,68,14.196998834609985,0.126227779397183
1000,8,0.5,0.6,-12011.768328706423,8502.305503887143,777326.5,646555101735594.6,20029744.700924188,69,23.405643383661907,0.2955878831857543
600,4,0.6,0.8,-12372.251698931059,8835.928835530944,564465.3645833334,648119764473173.4,20113523.996152755,70,5.385567824045817,0.06667282410659056
600,6,0.6,0.8,-13152.295130372047,9316.80337158985,590652.4583333334,651595175952384.0,20305863.18561055,71,9.76637609799703,0.0677017365744192
600,8,0.6,0.8,-13385.833321178952,9480.384188131262,592289.5833333334,652634194531669.4,20361175.338450793,72,16.218741019566853,0.17937607567276345
600,4,0.5,0.8,-13518.442640816173,9591.04968140427,596488.7708333334,653243322116778.6,20391728.57743473,73,5.304494857788086,0.03688741048732856
1000,4,0.6,0.8,-13755.565179511905,9731.956171588108,642102.4166666666,654269455794176.0,20448055.64791825,74,8.980736176172892,0.059975807235252705
600,8,0.5,0.8,-13947.775781556964,9867.861932430884,603615.2395833334,655152275696298.6,20492931.532161307,75,15.907987753550211,0.3225471383245697
600,6,0.5,0.8,-14018.23460038503,9920.85497136489,600650.71875,655467013472256.0,20509007.886301592,76,9.737245718638102,0.15116424062938671
1000,6,0.6,0.8,-15530.984036241969,10993.204501103439,672961.3958333334,662164715776682.6,20847452.17130993,77,16.368581771850586,0.09960234111823726
1000,8,0.6,0.8,-15606.64118809998,11050.118966415363,674195.5208333334,662500450238464.0,20863778.491005983,78,27.488611062367756,0.3293838895241582
1000,4,0.5,0.8,-16562.47901807229,11825.390552971632,723578.7916666666,666777941267797.4,21064534.225646656,79,8.984676043192545,0.05379179375922321
1000,8,0.5,0.8,-17797.050699536998,12616.770441883458,737963.1458333334,672267840607573.4,21325151.107445445,80,26.786981105804443,0.25972767078909553
1000,6,0.5,0.8,-17936.737641399104,12720.087434303556,739296.7916666666,672889889445205.4,21353405.430400763,81,16.212686618169148,0.1316183327750956
300,4,0.5,0.5,-39389.601983989276,52069.52696271322,1274218.75,768831107279530.6,23145573.238654,82,2.3285353978474936,0.005514311504575853
300,6,0.5,0.5,-39928.963413616024,52719.42806938637,1286007.9479166667,771233676612949.4,23218464.13036254,83,3.7300397555033364,0.01985742141892566
300,8,0.5,0.5,-40087.052728906274,52884.55325279572,1294397.5104166667,771938084803925.4,23244043.568630274,84,5.200411160786946,0.023988704474581526
300,6,0.6,0.5,-44946.00032426914,58931.36001634594,1366108.6666666667,793587472138240.0,23841545.044351738,85,3.810854434967041,0.018470765012618365
300,4,0.6,0.5,-44991.414437547326,59005.02436366149,1359008.3958333333,793790328253098.6,23844318.174550265,86,2.344395875930786,0.004603902029531482
300,8,0.6,0.5,-45361.47278859218,59444.628146639254,1376865.1458333333,795439142010880.0,23891428.742030095,87,5.3836939334869385,0.010243424883365139
300,4,0.5,0.6,-45687.75104945401,60318.01076177032,1374318.4583333333,796904678664874.6,23857290.25928232,88,2.346278508504232,0.009390092671554228
300,6,0.5,0.6,-45712.63424026966,60412.19562572316,1370061.0,797015920694613.4,23850054.41181917,89,3.831927935282389,0.030754018780549116
300,8,0.5,0.6,-45820.37047906717,60534.83148182059,1377247.6875,797495491122517.4,23864774.80167834,90,5.570703824361165,0.03971686942318556
300,6,0.5,0.8,-51758.36479379734,68689.36198841427,1396018.7291666667,823970388159146.6,24432555.54184884,91,4.300050576527913,0.026140832258936764
300,8,0.5,0.8,-51873.78625869254,68546.13275458872,1400442.125,824482335118677.4,24490110.30316077,92,6.353624582290649,0.08010918233491886
300,4,0.5,0.8,-51921.35979656378,68706.20607112157,1404188.1666666667,824695217018197.4,24480002.589012574,93,2.573261022567749,0.0027483040863320526
300,4,0.5,0.5,-52135.51137659947,66327.74686324202,1441789.9583333333,825604695217493.4,24853829.664929267,94,2.337478240331014,0.016854542845580942
300,6,0.5,0.5,-52464.49923120439,66782.21116906352,1456842.3125,827070987545258.6,24883684.94275247,95,3.8704516887664795,0.02971662646802455
300,8,0.5,0.5,-52621.36821052929,66806.15392595965,1469538.375,827768916934656.0,24919961.11348206,96,5.899416049321492,0.052484427835268396
300,6,0.6,0.6,-53235.278167143464,70224.33719283779,1458068.8333333333,830541546913792.0,24643979.51224937,97,3.8665568828582764,0.02038198608613812
300,8,0.6,0.6,-53412.50604631504,70386.38155276226,1465386.0833333333,831330838730069.4,24672131.129137617,98,5.741047938664754,0.024962106345869525
300,4,0.6,0.6,-53740.07775750259,70708.60723707014,1462909.0,832790770395818.6,24720483.265272524,99,2.351867357889811,0.00885674933932227
300,4,0.5,0.6,-55225.81330449879,70901.2882178223,1469650.3541666667,839382715422037.4,25094973.707657147,100,2.3512186209360757,0.017005539041704293
300,4,0.8,0.5,-57546.68918110927,74846.1567363336,1474230.125,849741410380458.6,25207190.944869656,101,2.355807383855184,0.015031311261767016
300,6,0.8,0.5,-58164.02418941756,75758.3581620353,1493494.7291666667,852492506103808.0,25252904.128997814,102,3.863621234893799,0.014061787129900855
300,6,0.5,0.6,-58231.368015646935,75128.00100432469,1515856.6041666667,852782163339946.6,25347981.073502544,103,3.972848335901896,0.02410929650689326
300,8,0.8,0.5,-58461.1655168732,76111.58110224162,1507831.7916666667,853816464725333.4,25285754.393764507,104,5.6076704661051435,0.03958865850772056
300,8,0.5,0.6,-58611.66236462196,75498.74421890506,1530633.6875,854476421682517.4,25398971.325299054,105,6.092540820439656,0.02687928174582018
300,6,0.5,0.8,-62993.70595199367,80886.45868342345,1526095.875,874011746282154.6,25844056.860785056,106,4.499938885370891,0.0276292343498615
300,8,0.5,0.8,-63029.21360143026,81162.75931993587,1526230.9166666667,874172494381056.0,25821488.53491172,107,6.9910664558410645,0.07268049163269157
300,4,0.5,0.8,-63056.67190987369,80743.26416301866,1517416.7916666667,874290712237397.4,25874632.53099653,108,2.6164265473683677,0.013071728606417546
300,4,0.6,0.5,-63534.719927832484,80628.93805901283,1538201.7916666667,876408656800426.6,25996167.789833475,109,2.333811601003011,0.014894272253687122
300,6,0.6,0.5,-63691.79139872392,81197.24935826144,1562034.7291666667,877109613079210.6,25972390.355373356,110,3.8818699518839517,0.024046356822368265
300,6,0.8,0.6,-64345.575141747795,84082.31405384104,1562001.0625,880046828246357.4,25799000.581054587,111,3.9400351842244468,0.01348192314362368
300,8,0.6,0.8,-64403.8714787364,85639.89755524107,1539153.4583333333,880335339738453.4,25605965.25713488,112,6.58077335357666,0.06234062022462733
300,6,0.6,0.8,-64490.78285830716,85801.80854007385,1539852.7708333333,880722520834048.0,25607019.292100098,113,4.378959099451701,0.02463027064674831
300,8,0.6,0.5,-64518.13611418009,82331.95755444632,1573634.7708333333,880793598907733.4,26040843.845630627,114,6.183257579803467,0.05326453699953658
300,4,0.8,0.6,-64741.84262408316,84546.25611010389,1558007.5,881814170938026.6,25841769.884908874,115,2.3553901513417563,0.006213335777916039
300,8,0.8,0.6,-64955.2150815477,84861.23270795723,1573512.3125,882764541504170.6,25856671.106013168,116,6.008167107899983,0.025429311444655253
300,4,0.8,0.5,-65093.55175797144,81276.14115929013,1489124.8125,883318883090432.0,26270937.474248197,117,2.314347267150879,0.006841684928091358
300,4,0.6,0.8,-65302.79844401777,86604.70686831337,1554516.5,884340443578368.0,25718959.495758597,118,2.586131493250529,0.019590968632271985
300,6,0.6,0.6,-67859.96239612003,86497.15781556469,1597443.1666666667,895686937673728.0,26357341.888522804,119,4.0026774406433105,0.026457391563992048
300,8,0.6,0.6,-67928.68721034627,86345.28512503594,1609200.3125,895991656655530.6,26387872.68803889,120,6.261381467183431,0.0466133730657357
300,4,0.6,0.6,-70294.0746953835,89755.43585381965,1611719.5,906539955126272.0,26560194.559169054,121,2.360961675643921,0.005062600016116895
300,6,0.8,0.5,-71852.20517831545,90228.51766585503,1566423.9583333333,913445952159744.0,26842904.043549825,122,3.935056130091349,0.01281492117826336
300,8,0.8,0.5,-72474.3876841714,90550.98896140537,1585486.5,916215940426410.6,26939317.817021612,123,6.454828103383382,0.04714344595481828
600,4,0.5,0.5,-73433.91149258117,95393.5913293558,1711765.5208333333,920561836359680.0,26664990.70285194,124,4.6169625123341875,0.017716093890524903
300,6,0.6,0.8,-77503.38542911907,99239.7215105419,1682719.25,938676656450218.6,27158211.177894812,125,4.5944740772247314,0.009073080090352495
300,8,0.8,0.8,-77880.03189942737,102605.78583877205,1676465.875,940383418013013.4,26876480.419418897,126,6.935953776041667,0.04543472010826336
300,6,0.8,0.8,-78047.92596425116,102825.66645974807,1679625.5833333333,941132310992213.4,26890448.213253915,127,4.46410346031189,0.019748049468860832
300,4,0.8,0.8,-78065.56128463645,102395.12394596837,1674342.4166666667,941207756734464.0,26945739.81221962,128,2.5931859016418457,0.007648631581775634
600,4,0.5,0.8,-78204.2692920516,101732.01020623714,1733153.0625,941832083079168.0,27052579.540501192,129,5.116156657536824,0.022521691617463466
600,6,0.5,0.5,-78935.27327764034,102776.20420466283,1774671.2291666667,945084240145066.6,27102899.596396226,130,7.480240186055501,0.050964834523339816
600,4,0.5,0.6,-79269.19762927294,97094.84172429406,1804722.9791666667,946502654492672.0,27686634.231118966,131,4.664964993794759,0.024846806509504767
600,6,0.5,0.8,-79535.20973517497,104060.88152060816,1739182.1041666667,947768919064576.0,27096520.8113963,132,8.546297868092855,0.07308918330021505
600,8,0.5,0.5,-79870.08302202325,104159.70775682287,1794128.7083333333,949253213345109.4,27161694.791351635,133,10.247859557469686,0.09111715627783856
600,8,0.5,0.8,-80656.04152673979,105272.00862036493,1751505.5625,952762717525333.4,27216453.539863717,134,12.418683052062988,0.14523424921067474
600,4,0.5,0.6,-80789.36682182054,104955.95120457718,1792115.3541666667,953349913094826.6,27280337.687583853,135,4.6503721078236895,0.013099957478319973
300,4,0.6,0.8,-80898.71763725579,103774.06911551517,1699120.0833333333,953812937692501.4,27423888.573942307,136,2.6251781781514487,0.023831061462902346
300,4,0.8,0.6,-80974.41462163627,102813.09428869013,1609515.5833333333,954107408591530.6,27529681.95741011,137,2.3435985247294107,0.010958758557253374
300,6,0.8,0.6,-81934.07072434823,103765.23105295004,1652923.5625,958381264557397.4,27633306.75427577,138,4.073025147120158,0.009054275177362717
600,6,0.5,0.6,-82285.01441681385,107404.43071842054,1801357.625,960019225553578.6,27347880.957912307,139,7.613605101903279,0.043874876718909
300,8,0.8,0.6,-82415.44554827113,103978.69754049995,1679537.7083333333,960523748595029.4,27708167.797963213,140,6.5290069580078125,0.015964904498565743
300,8,0.6,0.8,-82848.75761921704,106918.9545914337,1731110.5,962509976633344.0,27520715.64072356,141,7.239252805709839,0.06597622872486968
600,8,0.5,0.6,-84040.98567057152,109918.11183062581,1830263.25,967847418615125.4,27464741.90329243,142,11.038192590077719,0.09799322011248342
600,6,0.5,0.6,-84091.78595411777,104080.1729116476,1860156.3541666667,968000721824426.6,28012401.57494055,143,7.934331099192302,0.056863726517998085
600,4,0.5,0.8,-84391.19852882624,102631.01334738257,1844861.5208333333,969334890779989.4,28174159.8271142,144,5.195223808288574,0.029265372200672483
600,4,0.5,0.5,-85407.01199011008,105154.62842619502,1862308.5833333333,973859115936426.6,28163612.472328175,145,4.659174998601277,0.03544486301788422
600,6,0.5,0.8,-85622.68244107564,104684.68429218295,1862959.1875,974826364381866.6,28236406.05125081,146,9.046587228775024,0.07263075012178573
600,8,0.5,0.8,-85770.70712864895,105222.9082287823,1865626.4166666667,975489615265792.0,28222259.440675724,147,13.755999088287354,0.16908158445941873
600,8,0.5,0.5,-86912.97788237035,106768.5751422289,1927783.1458333333,980565975804586.6,28305340.23330477,148,11.841803948084513,0.09770724279724625
600,6,0.5,0.5,-87644.99289821088,108451.17509494405,1905587.9375,983835575582720.0,28306122.50516622,149,7.76961334546407,0.12104176333307629
