Timestep1and2,Number of particle,Strain rate,Intensity,Composition,Temperature,Strain,Stress,v_p1,v_p2,v_p3,v_p4,Total energy,Press,Von Mises stress,v_hydro,CaseID,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
109800,55,1000000000,4350000000,21,300.54431,0.02196,0.83510577,0.02196,0.83510577,-0.0059916913,0.42555798,-1296373.8,-4182.2402,1.6130634,-3.812182e-05,CS6,1945.38305242488,16.7539683529311,9.16029274169025,0.0,199.761384939663,1701.8444125756,1190.0,166731.0,2312.0
110400,55,1000000000,4350000000,21,301.18624,0.02208,0.83252732,0.02208,0.83252732,-0.013335085,0.42127011,-1296378.7,-4134.8745,1.6166421,-3.6519189e-05,CS6,1859.42694596471,31.1989307085291,5.46870665504922,4.50102569522193,155.850438708854,1636.97397794833,1239.0,166611.0,2323.0
111000,55,1000000000,4350000000,21,301.05117,0.0222,0.83112713,0.0222,0.83112713,-0.016711131,0.42225273,-1296219.7,-4122.2291,1.6165707,-3.5948684e-05,CS6,1919.53785350457,16.1471795507619,16.5391563119757,0.0,169.494344267634,1709.2839319277,1194.0,166421.0,2281.0
111600,55,1000000000,4350000000,21,300.52427,0.02232,0.8471511,0.02232,0.8471511,0.0017119853,0.42951095,-1296492.0,-4261.2468,1.6165971,-3.9065231e-05,CS6,1941.86191059597,11.9830285057976,0.0,0.0,172.710427238677,1737.18869472612,1203.0,166526.0,2319.0
112200,55,1000000000,4350000000,21,301.03403,0.02244,0.86340347,0.02244,0.86340347,0.0060891985,0.43838225,-1296384.8,-4359.5831,1.6361556,-4.1190784e-05,CS6,1791.71012542813,19.9397770291184,0.0,0.0,113.654828246007,1638.47375697712,1189.0,166221.0,2287.0
112800,55,1000000000,4350000000,21,300.28893,0.02256,0.87547231,0.02256,0.87547231,0.016743621,0.4487278,-1296493.2,-4469.8124,1.6330402,-4.3354317e-05,CS6,2001.9692238081,30.848313934254598,7.58836809904965,0.0,129.02571963407,1818.64155287393,1262.0,166304.0,2368.0
113400,55,1000000000,4350000000,21,300.28868,0.02268,0.86719632,0.02268,0.86719632,-0.0046393964,0.43320928,-1296491.8,-4319.2207,1.6619556,-3.9256992e-05,CS6,1800.88210386005,23.6461265755522,12.7511611795966,0.0,148.083196080466,1592.87369639791,1323.0,166323.0,2296.0
114000,55,1000000000,4350000000,21,300.33553,0.0228,0.87671699,0.0228,0.87671699,5.5778664e-05,0.43373199,-1296338.5,-4368.3492,1.6622776,-4.0504486e-05,CS6,1654.45611604329,36.9587333306834,16.536368351729,0.0,116.279950899268,1470.14507944845,1219.0,166404.0,2247.0
114600,55,1000000000,4350000000,21,300.72773,0.02292,0.87472055,0.02292,0.87472055,0.01403204,0.4451437,-1296598.4,-4446.321,1.6279429,-4.2591302e-05,CS6,1803.10567698348,19.4957354887917,0.0,0.0,152.704128674477,1609.79132646525,1244.0,166045.0,2315.0
115200,55,1000000000,4350000000,21,301.32623,0.02304,0.88119481,0.02304,0.88119481,-0.0058357146,0.43344692,-1296518.0,-4362.6867,1.6831589,-3.9583978e-05,CS6,1863.48905041224,17.0369172967628,12.1805852801476,0.0,135.551878948674,1674.34251204643,1215.0,165953.0,2314.0
115800,55,1000000000,4350000000,21,300.57177,0.02316,0.88644174,0.02316,0.88644174,0.00081404147,0.43624341,-1296639.7,-4411.664,1.674847,-4.0723603e-05,CS6,1860.9405148764,13.3176847091697,7.41317046169024,0.0,139.626707250359,1672.43597006992,1268.0,166151.0,2335.0
116400,55,1000000000,4350000000,21,300.3865,0.02328,0.89336593,0.02328,0.89336593,0.0087333701,0.44741663,-1296635.0,-4498.3865,1.6704843,-4.2770711e-05,CS6,1954.79643089957,14.2449785489323,16.1978149588953,0.0,158.53571823526,1746.45220131343,1315.0,166084.0,2344.0
117000,55,1000000000,4350000000,21,300.54552,0.0234,0.89231546,0.0234,0.89231546,-0.012129259,0.44425435,-1296473.3,-4414.8018,1.70557,-4.0282825e-05,CS6,1808.51771390258,21.7081055039511,11.923414539204,0.0,131.606463524953,1598.42297501616,1319.0,166106.0,2337.0
117600,55,1000000000,4350000000,21,300.41126,0.02352,0.90217408,0.02352,0.90217408,0.0053771408,0.4535568,-1296738.7,-4537.0267,1.684403,-4.2710762e-05,CS6,1919.34506768923,15.6629475095084,19.2690569338142,0.0,156.982916422124,1699.49931796489,1277.0,165933.0,2458.0
118200,55,1000000000,4350000000,21,301.40905,0.02364,0.89967785,0.02364,0.89967785,-0.0042845612,0.44997704,-1296536.3,-4484.5677,1.6958972,-4.1637885e-05,CS6,1797.1625171367,20.8360488574329,16.6581363412053,0.0,152.134025895153,1578.38220046815,1244.0,165946.0,2373.0
118800,55,1000000000,4350000000,21,300.28642,0.02376,0.91288087,0.02376,0.91288087,-0.015638155,0.45484471,-1296710.8,-4506.9581,1.7455123,-4.2138018e-05,CS6,1886.72855127886,5.52854407182922,27.7954796354186,0.0,194.417081414162,1637.10120810521,1336.0,166028.0,2464.0
119400,55,1000000000,4350000000,21,299.97631,0.02388,0.9093906,0.02388,0.9093906,0.0016242138,0.4660214,-1296755.6,-4590.1207,1.6963928,-4.3634352e-05,CS6,1809.1593641979,30.8668609062472,12.8797877419225,0.0,191.310164349457,1542.25290693977,1302.0,166029.0,2414.0
120000,55,1000000000,4350000000,21,301.26326,0.024,0.90435761,0.024,0.90435761,-0.0098581763,0.45530192,-1296490.8,-4499.3378,1.6988,-4.0801051e-05,CS6,2033.24326347643,22.4896679079435,7.00035459831379,0.0,207.943530558694,1751.23859224499,1333.0,165916.0,2388.0
120600,55,1000000000,4350000000,21,300.67314,0.02412,0.92541084,0.02412,0.92541084,0.001512226,0.46040946,-1296765.9,-4624.4418,1.7200205,-4.363624e-05,CS6,2005.28864174307,4.96751782145069,19.543859890505,0.0,180.429166467494,1740.1825951318,1355.0,165778.0,2340.0
121200,55,1000000000,4350000000,21,301.26407,0.02424,0.93465395,0.02424,0.93465395,0.0051676958,0.46501673,-1296809.8,-4682.7946,1.7290149,-4.5107503e-05,CS6,1782.84283049166,18.775643440073,9.2117359882068,0.0,127.218689823493,1593.03653091272,1362.0,165738.0,2344.0
